player_id,RB,RWB,RM,RWF,RF,RCB,RDM,RCM,RAM,RCF,CB,CDM,CM,CAM,CF,LCB,LDM,LCM,LAM,LCF,LB,LWB,LM,LWF,LF,actual_position,team,match_id
3270.0,0.23355370951252008,0.23257329400182777,0.19455191158042512,0.13705693596626614,0.08174965597096917,0.034277766035140225,0.030341376296329166,0.02374668449283698,0.017227462643526432,0.012162430211911419,0.0009241346742192267,0.0006589259955085119,0.00045608847790485263,0.00036188756147962405,0.0003505809342876744,3.581545801853731e-06,1.870699371901055e-06,8.567419516954898e-07,4.419941651804128e-07,4.016851840981005e-07,1.866853047315685e-09,7.608267262858049e-10,2.547288650432724e-10,7.233835863497463e-11,2.3625964617512787e-11,Right Back,Leicester City,3754058
3307.0,0.0017663356522611695,0.001804508539499274,0.0016143360191912925,0.001264478013617204,0.0008669075662621125,0.005868259841924159,0.0066399229323090316,0.006592631340758772,0.005730729999703176,0.00434914142118411,0.016441188298939043,0.021431657214620335,0.024304413944493092,0.023816245927964257,0.020053687019137213,0.04059862119219775,0.05928858300148794,0.07378713312670428,0.07788962256117668,0.06953539160470205,0.06127645566960077,0.09447583901215188,0.12279335047283027,0.13429623510991798,0.123514324517366,Left Midfield,Leicester City,3754058
3631.0,0.006181991315175404,0.011236160249725074,0.016549066605119157,0.019613681911715742,0.01857762919918351,0.007636684906558202,0.01481133824859993,0.023253197998087574,0.02910953659371029,0.02869915781751878,0.008919692373646274,0.018598500295291018,0.03102178132296391,0.040533735054008806,0.04089397912086449,0.015696015643111128,0.03341735075825727,0.05516674750065531,0.06989302160580294,0.06747364547563686,0.03074782348478064,0.06493831253097779,0.104194652817167,0.12660959683436876,0.11622670033707408,Right Center Forward,Leicester City,3754058
3662.0,0.04429562842242665,0.0536285368751492,0.048238996435975866,0.03224126287346933,0.01608388202275254,0.060461905410094274,0.07920100431287852,0.07479286022531675,0.050694247167151096,0.024727213988318023,0.05123482843161763,0.06996658592309493,0.07143541350226017,0.05314095173666696,0.028179745857615682,0.030808577560439393,0.04034744081449104,0.042299753986495006,0.03443933918365522,0.02073036023819673,0.014134806432830533,0.017411713678533718,0.01756003330905122,0.014508113214691646,0.009436798396827775,Right Center Midfield,Leicester City,3754058
3671.0,0.02933296367565222,0.043222272944678584,0.05370973822415297,0.056285416398218865,0.04974352396117881,0.03133814760988228,0.049348500539129994,0.06553401582926562,0.07339340669405431,0.06931812408989789,0.02344071833115053,0.039447948069695295,0.05598424638094827,0.06700420373338552,0.0676295885388925,0.012274305011044066,0.022075926392422795,0.03348282070874424,0.042826705434919315,0.04619576063281883,0.004498208864757198,0.008646826572661529,0.01401669894707133,0.019160929763798202,0.02208900265157893,Right Center Forward,Leicester City,3754058
3810.0,0.00039614110380370237,0.0013874270914079469,0.0031860214007399163,0.004799689140001672,0.004744567114342918,0.0018537305706889783,0.007177806697690311,0.018194830853281625,0.03022480979253028,0.032925831007288436,0.004004789429232594,0.017236559104465025,0.04843806320361315,0.08898823961694606,0.10698617608622613,0.003996349602938336,0.01929953618531491,0.06068558888801475,0.12437786508815002,0.1663110567976626,0.0018256587352741623,0.010008894067569066,0.035664747806952335,0.08265102178874514,0.12463459882712002,Left Midfield,Leicester City,3754058
3812.0,0.0001037204582672483,0.00011498783213634794,0.00010991634267695996,9.485629469056062e-05,7.823829884125112e-05,0.00121886197339373,0.0014560962275726626,0.001478263015689681,0.001311587942755777,0.0010555660545326848,0.008270912920892205,0.010554931423546224,0.011405861189725058,0.010594606808998295,0.008634297105615425,0.0423758133548089,0.05430673822412071,0.05938251148074056,0.05563973788716338,0.045030052259344866,0.11824208957302057,0.1478005232926117,0.15865924107618187,0.14621145079418768,0.11586913816848564,Left Back,Leicester City,3754058
3813.0,0.14545635155264722,0.10742285433883333,0.06101503315597308,0.028262951952713753,0.010845301569653921,0.17451221625181343,0.12893883277466286,0.06958051073076028,0.03151439105618891,0.013405666964900947,0.0730981723444507,0.059046362710936336,0.03186776507265911,0.012465743779355005,0.004389508893257239,0.01115629430752648,0.011702687181748543,0.00989566335187654,0.006100197597285312,0.0024327560975100585,0.0006750736665642441,0.0008619053946202753,0.0014583698640762493,0.0020791134947758714,0.0018162758952102501,Right Center Back,Leicester City,3754058
3814.0,0.031279783683432864,0.05877005148632846,0.08757099418186996,0.10002704450245667,0.08425967792650244,0.01895475618337393,0.04156495368792056,0.07371584245656093,0.10114616504772614,0.10170220896296588,0.008061806790826131,0.019901267705674037,0.04007245586566428,0.06332221798573454,0.07420122343386681,0.0022857313049671896,0.00620658760440022,0.01362421818224981,0.023688088960778023,0.03122941623034274,0.00041215950670296517,0.0012440848955005146,0.002977075354455125,0.005615716093074834,0.008166471966624953,Right Midfield,Leicester City,3754058
3961.0,0.0200763321557681,0.02826072853023613,0.02792701835461495,0.020072407397087717,0.011199015886855332,0.029944710847559813,0.04768761427217648,0.054226424322362646,0.043791942315345014,0.02628440747115734,0.031365951493617435,0.05526230068190774,0.07218369273521794,0.06697137079373341,0.04460263616914789,0.02318601978410664,0.044105199145148155,0.06505573320410238,0.06966061279051577,0.052663286266105384,0.012038743037198998,0.024240342433365477,0.03935392640498587,0.04811220337106647,0.041727380136616934,Left Defensive Midfield,Leicester City,3754058
